timestamp_ms,pump_power_pct,pressure_bar,pressure_bar_raw
13484,0,4.989,4.442
13524,0,4.983,4.437
13780,0,4.976,4.409
13830,0,4.970,4.419
13880,0,4.965,4.428
13930,0,4.958,4.400
13980,0,4.952,4.400
14030,0,4.947,4.404
14080,0,4.944,4.414
14130,0,4.723,1.052
14180,0,4.503,0.518
14230,0,4.282,0.311
14280,0,4.062,0.260
14330,0,3.841,0.199
14380,40,3.621,0.166
14430,40,3.400,0.000
14480,40,3.180,0.000
14530,40,2.959,0.000
14580,40,2.739,0.000
14630,40,2.518,0.000
14680,40,2.352,0.433
14730,40,2.164,0.068
14780,40,1.995,0.049
14830,40,1.865,0.260
14880,40,1.726,0.044
14930,40,1.598,0.000
14980,40,1.491,0.077
15030,40,1.422,0.340
15080,40,1.325,0.000
15130,40,1.239,0.000
15180,40,1.161,0.000
15230,40,1.102,0.096
15280,40,1.039,0.000
15330,40,1.023,0.386
15380,40,0.978,0.096
15430,40,0.951,0.227
15480,40,0.938,0.321
15530,40,0.937,0.433
15580,40,0.891,0.000
15630,40,0.850,0.000
15680,40,0.827,0.133
15730,40,0.834,0.358
15780,40,0.799,0.000
15830,40,0.797,0.274
15880,40,0.782,0.161
15930,40,0.753,0.000
15980,40,0.768,0.321
16030,40,0.772,0.283
16080,40,0.911,0.893
16130,40,0.966,0.654
16180,40,0.954,0.349
16230,40,0.906,0.000
16280,40,0.873,0.091
16330,40,0.905,0.518
16380,40,0.914,0.443
16430,40,0.870,0.000
16480,40,0.874,0.386
16530,40,0.905,0.513
16580,40,0.863,0.000
16630,40,0.902,0.536
16680,40,0.942,0.579
16730,40,1.157,1.399
16780,40,1.152,0.611
16830,40,1.156,0.668
16880,40,1.208,0.888
16930,40,1.212,0.724
16980,40,1.220,0.747
17030,40,1.144,0.000
17080,40,1.137,0.579
17130,40,1.195,0.893
17180,40,1.122,0.000
17230,40,1.111,0.518
17280,40,1.182,0.926
17330,40,1.489,2.046
17380,40,1.409,0.227
17430,40,1.441,1.052
17480,40,1.452,0.991
17530,40,1.417,0.611
17580,40,1.544,1.484
17630,40,1.596,1.273
17680,40,1.480,0.000
17730,40,1.400,0.213
17780,40,1.432,1.043
17830,40,1.503,1.249
17880,40,1.426,0.265
17930,40,1.668,2.004
17980,40,1.729,1.437
18030,40,1.714,1.090
18080,40,1.679,0.883
18130,40,1.792,1.680
18180,40,1.716,0.569
18230,40,1.645,0.536
18280,40,1.876,2.173
18330,40,1.983,1.849
18380,40,1.875,0.461
18430,40,1.952,1.718
18480,40,2.131,2.248
18530,40,2.655,3.959
18580,40,2.611,1.737
18630,40,2.609,2.093
18680,40,3.180,4.644
18730,40,3.127,2.177
18780,40,3.106,2.426
18830,40,3.222,3.125
18880,40,3.271,2.937
18930,40,3.378,3.246
18980,40,3.432,3.120
19030,40,3.547,3.443
19080,40,3.752,3.959
19130,40,3.750,3.232
19180,40,4.763,8.554
19230,40,4.716,3.818
19280,40,4.682,3.893
19330,40,5.468,7.672
19380,40,5.675,5.891
19430,40,5.601,4.465
19480,40,5.574,4.850
19530,40,5.948,6.735
19580,40,5.899,4.981
19630,40,5.836,4.803
19680,40,6.118,6.589
19730,40,6.029,4.766
19780,40,6.016,5.403
19830,40,6.350,7.002
19880,40,6.496,6.500
19930,40,6.489,5.928
19980,40,6.695,6.903
20030,40,6.665,5.909
20080,40,6.793,6.735
20130,40,6.943,6.960
20180,40,7.023,6.800
20230,40,7.187,7.250
20280,40,7.314,7.250
20330,40,7.490,7.597
20380,40,7.648,7.691
20430,40,7.783,7.747
20480,40,8.137,8.859
20530,40,8.303,8.376
20580,40,8.418,8.315
20630,40,8.530,8.413
20680,40,8.479,7.550
20730,40,8.689,8.910
20780,40,8.919,9.210
20830,40,8.905,8.291
20880,40,9.171,9.585
20930,40,9.276,9.140
20980,40,9.238,8.413
21030,40,9.281,8.929
21080,40,9.441,9.492
21130,40,9.826,10.654
21180,40,9.753,8.624
21230,40,9.850,9.684
21280,40,10.058,10.274
21330,40,10.006,9.060
21380,40,10.066,9.773
21430,40,10.053,9.445
21480,40,9.925,8.338
21530,40,10.032,9.899
21580,40,10.041,9.571
21630,40,9.947,8.643
21680,40,9.913,9.126
21730,40,9.969,9.660
21780,40,10.202,10.504
21830,40,10.088,8.619
21880,40,10.102,9.651
21930,40,10.119,9.679
21980,40,9.935,7.865
22030,40,9.811,8.254
22080,40,9.627,7.555
22130,40,9.434,7.288
22180,40,9.351,8.151
22230,40,9.182,7.241
22280,40,9.122,8.104
22330,40,9.024,7.696
22380,0,8.861,6.969
22430,0,8.641,5.952
22480,0,8.420,5.469
22530,0,8.200,5.244
22580,0,7.979,5.098
22630,0,7.759,5.037
22680,0,7.538,4.995
22730,0,7.318,4.944
22780,0,7.115,4.887
22830,0,6.935,4.897
22880,0,6.771,4.869
22930,0,6.622,4.859
22980,0,6.489,4.850
23030,0,6.366,4.822
23080,0,6.256,4.812
23130,0,6.157,4.822
23180,0,6.068,4.808
23230,0,5.987,4.794
23280,0,5.914,4.789
23330,0,5.848,4.784
23380,0,5.790,4.803
23430,0,5.736,4.775
23480,0,5.687,4.770
23530,0,5.644,4.775
23580,0,5.605,4.775
23630,0,5.570,4.770
23680,0,5.536,4.742
23730,0,5.505,4.747
23780,0,5.476,4.728
23830,0,5.452,4.742
23880,0,5.428,4.728
23930,0,5.408,4.737
23980,0,5.391,4.747
24030,0,5.374,4.728
24080,0,5.359,4.733
24130,0,5.346,4.737
24180,0,5.335,4.737
24230,0,5.326,4.747
24280,0,5.315,4.728
24330,0,5.307,4.737
24380,0,5.300,4.737
24430,0,5.291,4.719
24480,0,5.284,4.719
24530,0,5.278,4.728
24580,0,5.273,4.728
24630,0,5.269,4.737
24680,0,5.265,4.728
24730,0,5.259,4.709
24780,0,5.254,4.709
24830,0,5.250,4.723
24880,0,5.247,4.719
24930,0,5.244,4.714
24980,0,5.241,4.719
25030,0,5.238,4.709
25080,0,5.235,4.709
25130,0,5.232,4.705
25180,0,5.231,4.723
25230,0,5.228,4.709
25280,0,5.226,4.709
25330,0,5.225,4.709
25380,0,5.225,4.728
25430,0,5.225,4.719
25480,0,5.223,4.709
25530,0,5.221,4.700
25580,0,5.220,4.714
25630,0,5.217,4.690
25680,0,5.215,4.700
25730,0,5.213,4.695
25780,0,5.212,4.705
25830,0,5.211,4.700
25880,0,5.211,4.714
25930,0,5.211,4.709
25980,0,5.212,4.714
26030,0,5.211,4.700
26080,0,5.210,4.709
26130,0,5.207,4.681
26180,0,5.206,4.690
26230,0,5.205,4.700
26280,0,5.206,4.709
26330,0,5.205,4.695
26380,0,5.203,4.690
26430,0,5.205,4.709
26480,0,5.203,4.690
26530,0,5.202,4.690
26580,0,5.201,4.695
26630,0,5.201,4.700
26680,0,5.204,4.714
26730,0,5.203,4.700
26780,0,5.207,4.719
26830,0,5.207,4.709
26880,0,5.205,4.686
26930,0,5.204,4.690
26980,0,5.202,4.690
27030,0,5.201,4.690
27080,0,5.201,4.700
27130,0,5.202,4.705
27180,0,5.201,4.690
27230,0,5.200,4.700
27280,0,5.200,4.695
27330,0,5.203,4.714
27380,0,5.203,4.700
27430,0,5.204,4.709
27480,0,5.204,4.700
27530,0,5.203,4.700
27580,0,5.205,4.709
27630,0,5.204,4.700
27680,0,5.203,4.690
27730,0,5.202,4.700
27780,0,5.204,4.709
27830,0,5.203,4.695
27880,0,5.199,4.667
27930,0,5.198,4.690
27980,0,5.196,4.672
28030,0,5.199,4.709
28080,0,5.200,4.705
28130,0,5.200,4.700
28180,0,5.200,4.700
28230,0,5.199,4.690
28280,0,5.200,4.705
28330,0,5.199,4.690
28380,0,5.198,4.690
28430,0,5.197,4.690
28480,0,5.197,4.690
28530,0,5.200,4.709
28580,0,5.199,4.690
28630,0,5.202,4.714
28680,0,5.204,4.709
28730,0,5.202,4.690
28780,0,5.202,4.700
28830,0,5.203,4.705
28880,0,5.204,4.709
28930,0,5.204,4.700
28980,0,5.204,4.705
29030,0,5.202,4.690
29080,0,5.204,4.709
29130,0,5.203,4.690
29180,0,5.201,4.690
29230,0,5.200,4.690
29280,0,5.199,4.690
29330,0,5.199,4.695
29380,0,5.198,4.695
29430,0,5.198,4.695
29480,0,5.203,4.719
29530,0,5.199,4.667
29580,0,5.199,4.695
29630,0,5.198,4.690
29680,0,5.197,4.695
29730,0,5.197,4.690
29780,0,5.198,4.705
29830,0,5.199,4.700
29880,0,5.201,4.709
29930,0,5.200,4.690
29980,0,5.199,4.690
30030,0,5.198,4.690
30080,0,5.198,4.695
30130,0,5.198,4.700
30180,0,5.199,4.700
30230,0,5.200,4.705
30280,0,5.197,4.672
30330,0,5.196,4.690
30380,0,5.197,4.700
30430,0,5.196,4.690
30480,0,5.195,4.681
30530,0,5.194,4.690
30580,0,5.193,4.681
30630,0,5.195,4.700
30680,0,5.196,4.700
30730,0,5.197,4.700
30780,0,5.194,4.672
30830,0,5.194,4.695
30880,0,5.193,4.686
30930,0,5.195,4.700
30980,0,5.194,4.690
31030,0,5.195,4.695
31080,0,5.191,4.662
31130,0,5.190,4.676
31180,0,5.189,4.686
31230,0,5.192,4.700
31280,0,5.192,4.690
31330,0,5.194,4.705
31380,0,5.192,4.672
31430,0,5.195,4.705
31480,0,5.193,4.681
31530,0,5.193,4.690
31580,0,5.192,4.681
31630,0,5.193,4.695
31680,0,5.196,4.709
31730,0,5.197,4.700
31780,0,5.195,4.681
31830,0,5.195,4.690
31880,0,5.195,4.695
31930,0,5.194,4.686
31980,0,5.195,4.700
32030,0,5.195,4.695
32080,0,5.195,4.690
32130,0,5.194,4.690
32180,0,5.198,4.709
32230,0,5.197,4.690
32280,0,5.198,4.700
32330,0,5.198,4.700
32380,45,5.199,4.700
32430,45,5.705,6.950
32480,45,5.876,5.966
32530,45,5.829,4.925
32580,45,5.783,4.887
32630,45,6.113,6.753
32680,45,6.101,5.497
32730,45,6.035,4.972
32780,45,6.337,6.875
32830,45,6.203,4.559
32880,45,6.138,5.084
32930,45,6.376,6.697
32980,45,6.332,5.459
33030,45,6.240,4.953
33080,45,6.180,5.169
33130,45,6.367,6.510
33180,45,6.325,5.469
33230,45,6.233,4.953
33280,45,6.416,6.547
33330,45,6.270,4.526
33380,45,6.194,5.047
33430,45,6.452,6.838
33480,45,6.685,6.988
33530,45,6.559,4.991
33580,45,6.662,6.514
33630,45,6.711,6.378
33680,45,6.631,5.450
33730,45,6.525,5.122
33780,45,6.625,6.472
33830,45,6.464,4.592
33880,45,6.370,5.061
33930,45,6.545,6.650
33980,45,6.753,6.969
34030,45,6.616,4.948
34080,45,6.831,7.072
34130,45,7.002,7.091
34180,45,6.884,5.380
34230,45,6.797,5.548
34280,45,6.832,6.453
34330,45,6.667,4.766
34380,45,6.549,5.037
34430,45,6.591,6.238
34480,45,6.704,6.594
34530,45,6.568,4.901
34580,45,6.821,7.194
34630,45,6.971,6.988
34680,45,6.864,5.450
34730,45,6.710,4.897
34780,45,6.887,6.997
34830,45,6.711,4.714
34880,45,6.586,5.019
34930,45,6.614,6.210
34980,45,6.621,6.144
35030,45,6.490,4.878
35080,45,6.729,7.053
35130,45,6.830,6.678
35180,45,6.742,5.488
35230,45,6.604,4.925
35280,45,6.786,6.913
35330,45,6.607,4.583
35380,45,6.492,5.009
35430,45,6.669,6.782
35480,45,6.605,5.558
35530,45,6.475,4.869
35580,45,6.650,6.753
35630,45,6.682,6.289
35680,45,6.604,5.445
35730,45,6.475,4.869
35780,45,6.659,6.796
35830,45,6.485,4.498
35880,45,6.382,5.009
35930,45,6.627,6.969
35980,45,6.844,7.091
36030,45,6.700,4.972
36080,45,6.765,6.491
36130,45,6.795,6.397
36180,45,6.706,5.445
36230,45,6.588,5.084
36280,45,6.687,6.528
36330,45,6.516,4.555
36380,45,6.409,5.000
36430,45,6.607,6.791
36480,45,6.799,6.960
36530,45,6.656,4.939
36580,45,6.845,6.993
36630,45,7.008,7.072
36680,45,6.885,5.338
36730,45,6.732,4.925
36780,45,6.784,6.463
36830,45,6.617,4.695
36880,45,6.498,4.986
36930,45,6.579,6.355
36980,45,6.699,6.613
37030,45,6.562,4.897
37080,45,6.815,7.185
37130,45,6.962,6.969
37180,45,6.852,5.413
37230,45,6.698,4.887
37280,45,6.840,6.828
37330,45,6.724,5.234
37380,45,6.581,4.869
37430,45,6.576,6.027
37480,45,6.421,4.601
37530,45,6.320,4.962
37580,45,6.549,6.838
37630,45,6.673,6.599
37680,45,6.535,4.864
37730,45,6.406,4.803
37780,45,6.658,7.025
37830,45,6.573,5.352
37880,45,6.450,4.897
37930,45,6.652,6.847
37980,45,6.492,4.634
38030,45,6.384,4.962
38080,45,6.614,6.903
38130,45,6.657,6.308
38180,45,6.517,4.822
38230,45,6.390,4.803
38280,45,6.592,6.791
38330,45,6.519,5.394
38380,45,6.399,4.873
38430,45,6.633,6.941
38480,45,6.460,4.484
38530,45,6.355,4.962
38580,45,6.477,6.397
38630,45,6.434,5.563
38680,45,6.320,4.855
38730,45,6.223,4.897
38780,45,6.381,6.425
38830,45,6.335,5.441
38880,45,6.234,4.869
38930,45,6.459,6.735
38980,45,6.297,4.419
39030,45,6.208,4.953
39080,45,6.479,6.913
39130,45,6.704,6.978
39180,45,6.571,4.934
39230,45,6.439,4.812
39280,45,6.508,6.247
39330,45,6.442,5.375
39380,45,6.331,4.887
39430,45,6.455,6.383
39480,45,6.305,4.522
39530,45,6.219,4.991
39580,45,6.432,6.664
39630,45,6.280,4.484
39680,45,6.192,4.944
39730,45,6.450,6.838
39780,45,6.658,6.875
39830,45,6.526,4.897
39880,45,6.554,6.153
39930,45,6.602,6.266
39980,45,6.531,5.422
40030,45,6.409,4.869
40080,45,6.559,6.575
40130,45,6.491,5.413
40180,45,6.372,4.859
40230,45,6.598,6.875
40280,45,6.423,4.433
40330,45,6.321,4.948
40380,0,6.563,6.899
40430,0,6.445,4.934
40480,0,6.323,4.784
40530,0,6.207,4.723
40580,0,6.102,4.700
40630,0,6.004,4.672
40680,0,5.915,4.653
40730,0,5.835,4.653
40780,0,5.761,4.634
40830,0,5.691,4.592
40880,0,5.628,4.597
40930,0,5.571,4.578
40980,0,5.521,4.597
41030,0,5.474,4.578
41080,0,5.433,4.578
41130,0,5.395,4.569
41180,0,5.359,4.555
41230,0,5.328,4.564
41280,0,5.301,4.569
41330,0,5.276,4.569
41380,0,5.254,4.569
41430,0,5.232,4.540
41480,0,5.215,4.573
41530,0,5.199,4.564
41580,0,5.183,4.540
41630,0,5.169,4.550
41680,0,5.158,4.569
41730,0,5.148,4.564
41780,0,5.137,4.540
41830,0,5.128,4.555
41880,0,5.121,4.559
41930,0,5.113,4.540
41980,0,5.103,4.522
42030,0,5.097,4.545
42080,0,5.093,4.559
42130,0,5.089,4.555
42180,0,5.082,4.526
